원문,토큰,태그_1위,설명,태그_전체
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",results,A2.2,,A2.2|X9.2|K5|N2|A5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",of,Z5,,Z5|Z3|P1|Z1|A6.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|P1|Z3|N4|N6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",evaluation,X2.4,,X2.4|P1|A5|N2|A5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",will,T1.1.3,,T1.1.3|Q1.2|Z3|X7|A1.1.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",be,A3,,A3|Z5|A2.1|W1|X2.4
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",reflected,A10,,A10|X3.4|Y1|M2|A5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",in,Z5,,Z5|P1|A2.1|A1.8|T2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|P1|Z3|N5.1|N4
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",education,P1,,P1|H1|X2.3|C1|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",plan,X7,,X7|C1|P1|H1|A1.1.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",for,Z5,,Z5|X7|A5.1|N4|M6
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",next,N4,,N4|P1|T1.1.3|S2|T1.3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",year,P1,,P1|T1.3|T1.1.3|S2|N4
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",to,Z5,,Z5|T1.1.3|Z3|N4|P1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",improve,A2.1,,A2.1|A5.1|P1|G2.2|S8
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",the,Z5,,Z5|Z3|A5.1|P1|N5.1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",quality,O4.1,,O4.1|A5.1|X9.1|Z3|A4.2
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",of,Z5,,Z5|Z3|A5.1|P1|Z1
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",school,P1,,P1|H1|S5|L2|Z3
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",education,P1,,P1|H1|X2.3|Z3|X2.4
"The 2016 school evaluation is conducted as a school self-evaluation for all schools every year, and the evaluation changed so that each school will form a self-evaluation committee consisting of teachers, school operation committee members, parents, and external education experts to ensure the objectivity of the evaluation and the results of the school evaluation will be reflected in the school education plan for next year to improve the quality of school education.",.,Z5,,Z5|Z3|K5.1|Z1|E2
"It's a school day off, but there are watching EBS education programs (Korean).",It,Z8,,Z8|Z5|Y2|A1.1.1|Z4
"It's a school day off, but there are watching EBS education programs (Korean).",'s,Z5,,Z5|A3|A2.1|A2.2|A9
"It's a school day off, but there are watching EBS education programs (Korean).",a,Z5,,Z5|N6|P1|T1.3|Z3
"It's a school day off, but there are watching EBS education programs (Korean).",school,P1,,P1|H1|L2|S5|Z3
"It's a school day off, but there are watching EBS education programs (Korean).",day,T1.3,,T1.3|T1.1.3|T1.1.2|N6|K1
"It's a school day off, but there are watching EBS education programs (Korean).",off,M6,,M6|K1|Z5|A1.9|A1.1.1
"It's a school day off, but there are watching EBS education programs (Korean).",",",Z5,,Z5|K5.1|Z3|T1.3|E2
"It's a school day off, but there are watching EBS education programs (Korean).",but,Z5,,Z5|E2|Z3|Z4|A11.1
"It's a school day off, but there are watching EBS education programs (Korean).",there,Z5,,Z5|S1.1.3|T1.2|A3|A9
"It's a school day off, but there are watching EBS education programs (Korean).",are,A3,,A3|Z5|X2.4|A9|A2.1
"It's a school day off, but there are watching EBS education programs (Korean).",watching,X2.4,,X2.4|A1.3|X3.4|S7.1|M5
"It's a school day off, but there are watching EBS education programs (Korean).",EBS,P1,,P1|Z3|B2|B3|Q4.3
"It's a school day off, but there are watching EBS education programs (Korean).",education,P1,,P1|X2.3|Q4.3|Z3|H1
"It's a school day off, but there are watching EBS education programs (Korean).",programs,P1,,P1|Q4.3|Q1.2|X7|Y2
"It's a school day off, but there are watching EBS education programs (Korean).",(,Z5,,Z5|Z3|N1|P1|X2.4
"It's a school day off, but there are watching EBS education programs (Korean).",Korean,Q3,,Q3|Z2|S2|Q2.1|O4.3
"It's a school day off, but there are watching EBS education programs (Korean).",),Z5,,Z5|Z3|K5.1|N1|T3
"It's a school day off, but there are watching EBS education programs (Korean).",.,Z5,,Z5|Z3|K5.1|E2|Z1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",Every,N5.1,,N5.1|N6|Z5|T2|N5
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",Wednesday,N6,,N6|T1.3|N5.1|T1.1.2|T2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",",",Z5,,Z5|Z3|T1.3|S5|E2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",families,S4,,S4|A4.1|S5|B1|B3
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",gather,S5,,S5|A9|A1.1.1|A2.1|X2.5
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",together,S5,,S5|T1.1.2|M6|A1.1.1|S1.1.3
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",to,Z5,,Z5|A9|A2.2|N6|X7
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",have,A9,,A9|Z5|S4|A2.2|S1.1.1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",a,Z5,,Z5|N6|T1.3|F1|S1.1.2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",meal,F1,,F1|T1.3|N5|T1.2|B1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",and,Z5,,Z5|Z3|T3|A9|N6
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",develop,A9,,A9|A2.1|C1|T2|N3.2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",family,S4,,S4|B1|A4.1|A9|E2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",love,E2,,E2|S2|S3.2|S5|Z3
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",and,Z5,,Z5|Z3|E2|T3|Z1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",personality,S1.2,,S1.2|S2|S1.2.3|O4.1|S1.1.1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",through,Z5,,Z5|Q1.3|A11.2|Q2.1|X9.2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",conversation,Q2.1,,Q2.1|X2.1|X2.5|S1.1.2|E3
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",to,Z5,,Z5|A2.2|A9|M6|S8
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",restore,A9,,A9|A2.1|C1|S8|T1.1.1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",the,Z5,,Z5|Z3|T3|A3|Z1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",family,S4,,S4|A4.1|B1|A9|S5
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",'s,Z5,,Z5|A3|T3|A9|O4.2
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",personality,S1.2,,S1.2|S2|O4.1|S1.2.3|P1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",education,P1,,P1|X2.3|H1|C1|Z3
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",function,A1.1.1,,A1.1.1|S1.1.3|A2.2|Y2|A1.5.1
"Every Wednesday, families gather together to have a meal and develop family love and personality through conversation to restore the family's personality education function.",.,Z5,,Z5|Z3|T1.3|K5.1|Z1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",Maintain,A9,,A9|T2|A1.1.1|A2.1|S8
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",proper,S1.2.4,,S1.2.4|A5.4|A5.3|A1.2|G2.2
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",ventilation,B3,,B3|A1.1.1|O1.3|Q4.3|O2
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",",",Z5,,Z5|Z3|E2|W1|M1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",temperature,O4.6,,O4.6|A1.1.1|E1|B2|Z3
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",",",Z5,,Z5|Z3|E2|W1|K5.1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",and,Z5,,Z5|Z3|W1|C1|Z1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",humidity,O1.2,,O1.2|O1|O1.3|W4|N5
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",indoors,Q4.3,,Q4.3|A10|M6|Z1|C1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",and,Z5,,Z5|Z3|Z1|W1|C1
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",keep,A9,,A9|A2.2|N6|H4|T2
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",personal,S5,,S5|S1.2.1|N5.1|A10|Z3
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",hygiene,B4,,B4|A1.1.1|O4.1|G2.2|B3
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",thoroughly,A4.2,,A4.2|A13.2|X2.4|A5.3|A1.3
"Maintain proper ventilation, temperature, and humidity indoors and keep personal hygiene thoroughly.",.,Z5,,Z5|Z3|E2|Z1|T1.3
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,It,Z8,,Z8|Z5|Z4|Y2|A1.1.1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,will,T1.1.3,,T1.1.3|X7|Q1.2|A1.4|G2.1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,be,A3,,A3|Z5|A1.4|A2.1|T1.1.3
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,an,Z5,,Z5|N6|A1.4|S1.1.2|T1.2
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,opportunity,A1.4,,A1.4|A15|A7|A3|X7
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,to,Z5,,Z5|A1.4|T1.1.3|S1.1.2|A2.2
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,feel,X3,,X3|E1|X2.1|A8|X2.5
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,a,Z5,,Z5|A8|X3|X9.1|O4.2
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,sense,X3,,X3|A8|X2.1|E1|Q3
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,of,Z5,,Z5|X9.1|X2.1|A8|S1.1.1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,accomplishment,X9.2,,X9.2|A1.1.1|O2|A9|X9.1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,and,Z5,,Z5|Z3|A9|A3|N1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,have,A9,,A9|Z5|A2.2|S4|S1.1.1
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,various,A6.3,,A6.3|A6.2|N5.1|A6.1|A4.2
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,experiences,A3,,A3|X3|A2.1|X9.1|I3.2
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,through,Z5,,Z5|Q1.3|X9.2|A11.2|M6
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,making,A1.1.1,,A1.1.1|A3|S6|X9.2|X6
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,activities,A1.1.1,,A1.1.1|K5.1|G3|K2|S1.1.3
It will be an opportunity to feel a sense of accomplishment and have various experiences through making activities.,.,Z5,,Z5|Z3|K5.1|E2|Z1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,This,Z5,,Z5|M6|Z8|A9|Z3
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Office,I3.1,,I3.1|I2.1|H1|H2|S7.1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,of,Z5,,Z5|Z3|P1|S5|Z1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Education,P1,,P1|X2.3|H1|C1|Z3
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,runs,A1.1.1,,A1.1.1|M1|K4|N3.8|T2
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,the,Z5,,Z5|P1|Z3|S5|A3
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Invention,P1,,P1|X2.1|A1.1.1|C1|Y1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Class,P1,,P1|S5|A4.1|X2.1|A1.1.1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,of,Z5,,Z5|Z3|P1|Z1|S5
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,the,Z5,,Z5|Z3|P1|Z1|S5
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Northern,M6,,M6|Z2|Z3|Q4.2|P1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Office,I3.1,,I3.1|I2.1|H1|H2|S9
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,of,Z5,,Z5|Z3|P1|S5|Z1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,Education,P1,,P1|X2.3|H1|Z3|C1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,to,Z5,,Z5|A2.2|Z3|A9|T1.1.3
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,foster,S8,,S8|S2|A1.1.1|A2.1|S4
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,growing,A2.1,,A2.1|F4|A5.1|N3.2|N5
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,children,S2,,S2|T3|P1|S4|L2
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,who,Z8,,Z8|Z5|Z3|S2|N1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,will,T1.1.3,,T1.1.3|X7|Q1.2|Z3|G2.1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,become,A2.1,,A2.1|O4.2|A3|A1.1.1|X7
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,creative,X2.1,,X2.1|A6.2|X7|C1|A1.6
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,talents,X9.1,,X9.1|I3.1|I3.2|C1|P1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,in,Z5,,Z5|T1.1.3|A2.1|W1|P1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,the,Z5,,Z5|T1.1.3|W1|Z3|P1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,future,T1.1.3,,T1.1.3|X2.6|W1|S1.2.3|P1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,society,S5,,S5|P1|Z3|I2.1|Y1
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,through,Z5,,Z5|X9.2|A11.2|X9.1|Q1.3
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,creativity,X2.1,,X2.1|C1|A6.2|X7|S1.2.6
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,education,P1,,P1|X2.3|C1|X2.1|X2.4
This Office of Education runs the Invention Class of the Northern Office of Education to foster growing children who will become creative talents in the future society through creativity education.,.,Z5,,Z5|Z3|K5.1|Z1|E2
